id,date,item,sales
80,2013-03-22,1,72
81,2013-03-23,1,68
82,2013-03-24,1,75
83,2013-03-25,1,45
84,2013-03-26,1,64
85,2013-03-27,1,47
86,2013-03-28,1,51
87,2013-03-29,1,52
88,2013-03-30,1,66
89,2013-03-31,1,63
90,2013-04-01,1,42
91,2013-04-02,1,70
92,2013-04-03,1,79
93,2013-04-04,1,72
94,2013-04-05,1,62
95,2013-04-06,1,87
96,2013-04-07,1,80
97,2013-04-08,1,54
98,2013-04-09,1,48
99,2013-04-10,1,54
100,2013-04-11,1,71
101,2013-04-12,1,64
102,2013-04-13,1,68
103,2013-04-14,1,96
104,2013-04-15,1,46
105,2013-04-16,1,52
106,2013-04-17,1,57
107,2013-04-18,1,68
108,2013-04-19,1,74
109,2013-04-20,1,74
110,2013-04-21,1,61
111,2013-04-22,1,50
112,2013-04-23,1,61
113,2013-04-24,1,50
114,2013-04-25,1,69
115,2013-04-26,1,64
116,2013-04-27,1,82
117,2013-04-28,1,73
118,2013-04-29,1,44
119,2013-04-30,1,66
120,2013-05-01,1,69
121,2013-05-02,1,74
122,2013-05-03,1,73
123,2013-05-04,1,80
124,2013-05-05,1,76
125,2013-05-06,1,52
126,2013-05-07,1,57
127,2013-05-08,1,66
128,2013-05-09,1,69
129,2013-05-10,1,79
130,2013-05-11,1,70
131,2013-05-12,1,75
132,2013-05-13,1,44
133,2013-05-14,1,66
134,2013-05-15,1,57
135,2013-05-16,1,71
136,2013-05-17,1,89
137,2013-05-18,1,75
138,2013-05-19,1,73
139,2013-05-20,1,53
140,2013-05-21,1,61
141,2013-05-22,1,73
142,2013-05-23,1,63
143,2013-05-24,1,62
144,2013-05-25,1,76
145,2013-05-26,1,98
146,2013-05-27,1,51
147,2013-05-28,1,49
148,2013-05-29,1,62
149,2013-05-30,1,59
150,2013-05-31,1,87
151,2013-06-01,1,96
152,2013-06-02,1,94
153,2013-06-03,1,52
154,2013-06-04,1,61
155,2013-06-05,1,79
156,2013-06-06,1,58
157,2013-06-07,1,73
158,2013-06-08,1,87
159,2013-06-09,1,89
160,2013-06-10,1,53
161,2013-06-11,1,69
162,2013-06-12,1,73
163,2013-06-13,1,75
164,2013-06-14,1,81
165,2013-06-15,1,83
166,2013-06-16,1,79
167,2013-06-17,1,61
168,2013-06-18,1,69
169,2013-06-19,1,56
170,2013-06-20,1,78
171,2013-06-21,1,80
172,2013-06-22,1,79
173,2013-06-23,1,83
174,2013-06-24,1,62
175,2013-06-25,1,73
176,2013-06-26,1,69
177,2013-06-27,1,75
178,2013-06-28,1,73
179,2013-06-29,1,75
180,2013-06-30,1,85
181,2013-07-01,1,67
182,2013-07-02,1,60
183,2013-07-03,1,62
184,2013-07-04,1,74
185,2013-07-05,1,88
186,2013-07-06,1,77
187,2013-07-07,1,96
188,2013-07-08,1,69
189,2013-07-09,1,84
190,2013-07-10,1,61
191,2013-07-11,1,82
192,2013-07-12,1,98
193,2013-07-13,1,70
194,2013-07-14,1,91
195,2013-07-15,1,59
196,2013-07-16,1,53
197,2013-07-17,1,71
198,2013-07-18,1,85
199,2013-07-19,1,94
200,2013-07-20,1,91
201,2013-07-21,1,95
202,2013-07-22,1,64
203,2013-07-23,1,66
204,2013-07-24,1,66
205,2013-07-25,1,87
206,2013-07-26,1,89
207,2013-07-27,1,96
208,2013-07-28,1,82
209,2013-07-29,1,54
210,2013-07-30,1,66
211,2013-07-31,1,69
212,2013-08-01,1,65
213,2013-08-02,1,76
214,2013-08-03,1,84
215,2013-08-04,1,77
216,2013-08-05,1,62
217,2013-08-06,1,62
218,2013-08-07,1,79
219,2013-08-08,1,68
220,2013-08-09,1,70
221,2013-08-10,1,74
222,2013-08-11,1,90
223,2013-08-12,1,46
224,2013-08-13,1,52
225,2013-08-14,1,71
226,2013-08-15,1,71
227,2013-08-16,1,68
228,2013-08-17,1,87
229,2013-08-18,1,79
230,2013-08-19,1,57
231,2013-08-20,1,66
232,2013-08-21,1,62
233,2013-08-22,1,68
234,2013-08-23,1,75
235,2013-08-24,1,65
236,2013-08-25,1,83
237,2013-08-26,1,50
238,2013-08-27,1,59
239,2013-08-28,1,71
240,2013-08-29,1,77
241,2013-08-30,1,78
242,2013-08-31,1,76
243,2013-09-01,1,75
244,2013-09-02,1,45
245,2013-09-03,1,57
246,2013-09-04,1,49
247,2013-09-05,1,64
248,2013-09-06,1,54
249,2013-09-07,1,72
250,2013-09-08,1,82
251,2013-09-09,1,56
252,2013-09-10,1,61
253,2013-09-11,1,61
254,2013-09-12,1,59
255,2013-09-13,1,69
256,2013-09-14,1,79
257,2013-09-15,1,71
258,2013-09-16,1,58
259,2013-09-17,1,63
260,2013-09-18,1,63
261,2013-09-19,1,65
262,2013-09-20,1,46
263,2013-09-21,1,69
264,2013-09-22,1,74
265,2013-09-23,1,53
266,2013-09-24,1,64
267,2013-09-25,1,67
268,2013-09-26,1,67
269,2013-09-27,1,64
270,2013-09-28,1,68
271,2013-09-29,1,78
272,2013-09-30,1,49
273,2013-10-01,1,51
274,2013-10-02,1,56
275,2013-10-03,1,60
276,2013-10-04,1,74
277,2013-10-05,1,50
278,2013-10-06,1,76
279,2013-10-07,1,58
280,2013-10-08,1,53
281,2013-10-09,1,57
282,2013-10-10,1,58
283,2013-10-11,1,66
284,2013-10-12,1,69
285,2013-10-13,1,62
286,2013-10-14,1,56
287,2013-10-15,1,54
288,2013-10-16,1,45
289,2013-10-17,1,70
290,2013-10-18,1,52
291,2013-10-19,1,72
292,2013-10-20,1,78
293,2013-10-21,1,41
294,2013-10-22,1,57
295,2013-10-23,1,55
296,2013-10-24,1,58
297,2013-10-25,1,58
298,2013-10-26,1,66
299,2013-10-27,1,55
300,2013-10-28,1,50
301,2013-10-29,1,63
302,2013-10-30,1,52
303,2013-10-31,1,74
304,2013-11-01,1,80
305,2013-11-02,1,67
306,2013-11-03,1,70
307,2013-11-04,1,47
308,2013-11-05,1,61
309,2013-11-06,1,57
310,2013-11-07,1,51
311,2013-11-08,1,76
312,2013-11-09,1,71
313,2013-11-10,1,95
314,2013-11-11,1,57
315,2013-11-12,1,64
316,2013-11-13,1,58
317,2013-11-14,1,59
318,2013-11-15,1,64
319,2013-11-16,1,69
320,2013-11-17,1,69
321,2013-11-18,1,49
322,2013-11-19,1,68
323,2013-11-20,1,59
324,2013-11-21,1,64
325,2013-11-22,1,69
326,2013-11-23,1,72
327,2013-11-24,1,71
328,2013-11-25,1,52
329,2013-11-26,1,65
330,2013-11-27,1,60
331,2013-11-28,1,72
332,2013-11-29,1,62
333,2013-11-30,1,76
334,2013-12-01,1,57
335,2013-12-02,1,31
336,2013-12-03,1,51
337,2013-12-04,1,36
338,2013-12-05,1,57
339,2013-12-06,1,50
340,2013-12-07,1,58
341,2013-12-08,1,55
342,2013-12-09,1,31
343,2013-12-10,1,47
344,2013-12-11,1,44
345,2013-12-12,1,27
346,2013-12-13,1,50
347,2013-12-14,1,57
348,2013-12-15,1,53
349,2013-12-16,1,43
350,2013-12-17,1,35
351,2013-12-18,1,43
352,2013-12-19,1,34
353,2013-12-20,1,52
354,2013-12-21,1,53
355,2013-12-22,1,43
356,2013-12-23,1,29
357,2013-12-24,1,52
358,2013-12-25,1,40
359,2013-12-26,1,46
360,2013-12-27,1,56
361,2013-12-28,1,51
362,2013-12-29,1,57
363,2013-12-30,1,32
364,2013-12-31,1,45
365,2014-01-01,1,35
366,2014-01-02,1,48
367,2014-01-03,1,41
368,2014-01-04,1,57
369,2014-01-05,1,55
370,2014-01-06,1,50
371,2014-01-07,1,42
372,2014-01-08,1,42
373,2014-01-09,1,53
374,2014-01-10,1,52
375,2014-01-11,1,51
376,2014-01-12,1,48
377,2014-01-13,1,37
378,2014-01-14,1,56
379,2014-01-15,1,52
380,2014-01-16,1,55
381,2014-01-17,1,56
382,2014-01-18,1,40
383,2014-01-19,1,56
384,2014-01-20,1,29
385,2014-01-21,1,32
386,2014-01-22,1,51
387,2014-01-23,1,61
388,2014-01-24,1,59
389,2014-01-25,1,67
390,2014-01-26,1,53
391,2014-01-27,1,39
392,2014-01-28,1,27
393,2014-01-29,1,36
394,2014-01-30,1,51
395,2014-01-31,1,47
396,2014-02-01,1,59
397,2014-02-02,1,46
398,2014-02-03,1,41
399,2014-02-04,1,53
400,2014-02-05,1,48
401,2014-02-06,1,66
402,2014-02-07,1,60
403,2014-02-08,1,61
404,2014-02-09,1,60
405,2014-02-10,1,38
406,2014-02-11,1,40
407,2014-02-12,1,40
408,2014-02-13,1,48
409,2014-02-14,1,58
410,2014-02-15,1,60
411,2014-02-16,1,55
412,2014-02-17,1,33
413,2014-02-18,1,41
414,2014-02-19,1,49
415,2014-02-20,1,57
416,2014-02-21,1,64
417,2014-02-22,1,61
418,2014-02-23,1,49
419,2014-02-24,1,35
420,2014-02-25,1,63
421,2014-02-26,1,61
422,2014-02-27,1,56
423,2014-02-28,1,60
424,2014-03-01,1,68
425,2014-03-02,1,65
426,2014-03-03,1,54
427,2014-03-04,1,54
428,2014-03-05,1,59
429,2014-03-06,1,63
430,2014-03-07,1,62
431,2014-03-08,1,72
432,2014-03-09,1,70
433,2014-03-10,1,49
434,2014-03-11,1,63
435,2014-03-12,1,65
436,2014-03-13,1,61
437,2014-03-14,1,49
438,2014-03-15,1,77
439,2014-03-16,1,81
440,2014-03-17,1,53
441,2014-03-18,1,55
442,2014-03-19,1,70
443,2014-03-20,1,68
444,2014-03-21,1,66
445,2014-03-22,1,71
446,2014-03-23,1,95
447,2014-03-24,1,42
448,2014-03-25,1,57
449,2014-03-26,1,77
450,2014-03-27,1,62
451,2014-03-28,1,59
452,2014-03-29,1,71
453,2014-03-30,1,67
454,2014-03-31,1,42
455,2014-04-01,1,69
456,2014-04-02,1,57
457,2014-04-03,1,64
458,2014-04-04,1,62
459,2014-04-05,1,83
460,2014-04-06,1,95
461,2014-04-07,1,51
462,2014-04-08,1,66
463,2014-04-09,1,62
464,2014-04-10,1,73
465,2014-04-11,1,72
466,2014-04-12,1,84
467,2014-04-13,1,79
468,2014-04-14,1,61
469,2014-04-15,1,64
470,2014-04-16,1,63
471,2014-04-17,1,68
472,2014-04-18,1,73
473,2014-04-19,1,81
474,2014-04-20,1,90
475,2014-04-21,1,57
476,2014-04-22,1,60
477,2014-04-23,1,63
478,2014-04-24,1,80
479,2014-04-25,1,71
480,2014-04-26,1,66
481,2014-04-27,1,88
482,2014-04-28,1,47
483,2014-04-29,1,72
484,2014-04-30,1,54
485,2014-05-01,1,79
486,2014-05-02,1,78
487,2014-05-03,1,88
488,2014-05-04,1,92
489,2014-05-05,1,57
490,2014-05-06,1,74
491,2014-05-07,1,71
492,2014-05-08,1,73
493,2014-05-09,1,85
494,2014-05-10,1,87
495,2014-05-11,1,92
496,2014-05-12,1,51
497,2014-05-13,1,70
498,2014-05-14,1,85
499,2014-05-15,1,85
500,2014-05-16,1,82
501,2014-05-17,1,103
502,2014-05-18,1,92
503,2014-05-19,1,55
504,2014-05-20,1,85
505,2014-05-21,1,74
506,2014-05-22,1,80
507,2014-05-23,1,89
508,2014-05-24,1,89
509,2014-05-25,1,85
510,2014-05-26,1,59
511,2014-05-27,1,67
512,2014-05-28,1,65
513,2014-05-29,1,79
514,2014-05-30,1,94
515,2014-05-31,1,95
516,2014-06-01,1,98
517,2014-06-02,1,60
518,2014-06-03,1,81
519,2014-06-04,1,68
520,2014-06-05,1,70
521,2014-06-06,1,88
522,2014-06-07,1,104
523,2014-06-08,1,101
524,2014-06-09,1,64
525,2014-06-10,1,89
526,2014-06-11,1,89
527,2014-06-12,1,90
528,2014-06-13,1,95
529,2014-06-14,1,105
530,2014-06-15,1,97
531,2014-06-16,1,72
532,2014-06-17,1,73
533,2014-06-18,1,74
534,2014-06-19,1,80
535,2014-06-20,1,76
536,2014-06-21,1,110
537,2014-06-22,1,100
538,2014-06-23,1,72
539,2014-06-24,1,83
540,2014-06-25,1,78
541,2014-06-26,1,69
542,2014-06-27,1,88
543,2014-06-28,1,95
544,2014-06-29,1,87
545,2014-06-30,1,59
546,2014-07-01,1,71
547,2014-07-02,1,84
548,2014-07-03,1,88
549,2014-07-04,1,94
550,2014-07-05,1,94
551,2014-07-06,1,102
552,2014-07-07,1,69
553,2014-07-08,1,90
554,2014-07-09,1,90
555,2014-07-10,1,84
556,2014-07-11,1,97
557,2014-07-12,1,111
558,2014-07-13,1,90
559,2014-07-14,1,93
560,2014-07-15,1,74
561,2014-07-16,1,99
562,2014-07-17,1,89
563,2014-07-18,1,105
564,2014-07-19,1,97
565,2014-07-20,1,114
566,2014-07-21,1,74
567,2014-07-22,1,105
568,2014-07-23,1,80
569,2014-07-24,1,93
570,2014-07-25,1,113
571,2014-07-26,1,97
572,2014-07-27,1,114
573,2014-07-28,1,71
574,2014-07-29,1,65
575,2014-07-30,1,77
576,2014-07-31,1,80
577,2014-08-01,1,77
578,2014-08-02,1,98
579,2014-08-03,1,92
580,2014-08-04,1,59
581,2014-08-05,1,67
582,2014-08-06,1,81
583,2014-08-07,1,71
584,2014-08-08,1,97
585,2014-08-09,1,77
586,2014-08-10,1,82
587,2014-08-11,1,64
588,2014-08-12,1,78
589,2014-08-13,1,67
590,2014-08-14,1,64
591,2014-08-15,1,75
592,2014-08-16,1,77
593,2014-08-17,1,100
594,2014-08-18,1,70
595,2014-08-19,1,73
596,2014-08-20,1,67
597,2014-08-21,1,78
598,2014-08-22,1,85
599,2014-08-23,1,86
600,2014-08-24,1,94
601,2014-08-25,1,58
602,2014-08-26,1,77
603,2014-08-27,1,87
604,2014-08-28,1,69
605,2014-08-29,1,75
606,2014-08-30,1,92
607,2014-08-31,1,93
608,2014-09-01,1,62
609,2014-09-02,1,65
610,2014-09-03,1,68
611,2014-09-04,1,97
612,2014-09-05,1,81
613,2014-09-06,1,87
614,2014-09-07,1,86
615,2014-09-08,1,59
616,2014-09-09,1,73
617,2014-09-10,1,71
618,2014-09-11,1,60
619,2014-09-12,1,79
620,2014-09-13,1,79
621,2014-09-14,1,101
622,2014-09-15,1,57
623,2014-09-16,1,62
624,2014-09-17,1,63
625,2014-09-18,1,76
626,2014-09-19,1,82
627,2014-09-20,1,81
628,2014-09-21,1,73
629,2014-09-22,1,60
630,2014-09-23,1,53
631,2014-09-24,1,61
632,2014-09-25,1,66
633,2014-09-26,1,80
634,2014-09-27,1,83
635,2014-09-28,1,78
636,2014-09-29,1,61
637,2014-09-30,1,62
638,2014-10-01,1,57
639,2014-10-02,1,66
640,2014-10-03,1,81
641,2014-10-04,1,78
642,2014-10-05,1,99
643,2014-10-06,1,48
644,2014-10-07,1,61
645,2014-10-08,1,79
646,2014-10-09,1,72
647,2014-10-10,1,75
648,2014-10-11,1,82
649,2014-10-12,1,89
650,2014-10-13,1,53
651,2014-10-14,1,70
652,2014-10-15,1,58
653,2014-10-16,1,69
654,2014-10-17,1,72
655,2014-10-18,1,95
656,2014-10-19,1,74
657,2014-10-20,1,49
658,2014-10-21,1,78
659,2014-10-22,1,63
660,2014-10-23,1,63
661,2014-10-24,1,61
662,2014-10-25,1,75
663,2014-10-26,1,69
664,2014-10-27,1,58
665,2014-10-28,1,59
666,2014-10-29,1,58
667,2014-10-30,1,64
668,2014-10-31,1,67
669,2014-11-01,1,78
670,2014-11-02,1,92
671,2014-11-03,1,50
672,2014-11-04,1,61
673,2014-11-05,1,64
674,2014-11-06,1,89
675,2014-11-07,1,85
676,2014-11-08,1,65
677,2014-11-09,1,87
678,2014-11-10,1,62
679,2014-11-11,1,56
680,2014-11-12,1,65
681,2014-11-13,1,62
682,2014-11-14,1,77
683,2014-11-15,1,87
684,2014-11-16,1,83
685,2014-11-17,1,63
686,2014-11-18,1,68
687,2014-11-19,1,79
688,2014-11-20,1,88
689,2014-11-21,1,90
690,2014-11-22,1,74
691,2014-11-23,1,93
692,2014-11-24,1,68
693,2014-11-25,1,73
694,2014-11-26,1,83
695,2014-11-27,1,78
696,2014-11-28,1,81
697,2014-11-29,1,87
698,2014-11-30,1,84
699,2014-12-01,1,42
700,2014-12-02,1,47
701,2014-12-03,1,39
702,2014-12-04,1,53
703,2014-12-05,1,58
704,2014-12-06,1,55
705,2014-12-07,1,50
706,2014-12-08,1,48
707,2014-12-09,1,48
708,2014-12-10,1,42
709,2014-12-11,1,46
710,2014-12-12,1,45
711,2014-12-13,1,56
712,2014-12-14,1,55
713,2014-12-15,1,48
714,2014-12-16,1,47
715,2014-12-17,1,66
716,2014-12-18,1,43
717,2014-12-19,1,49
718,2014-12-20,1,62
719,2014-12-21,1,66
720,2014-12-22,1,46
721,2014-12-23,1,60
722,2014-12-24,1,55
723,2014-12-25,1,62
724,2014-12-26,1,55
725,2014-12-27,1,58
726,2014-12-28,1,61
727,2014-12-29,1,44
728,2014-12-30,1,44
729,2014-12-31,1,43
730,2015-01-01,1,46
731,2015-01-02,1,52
732,2015-01-03,1,62
733,2015-01-04,1,56
734,2015-01-05,1,32
735,2015-01-06,1,39
736,2015-01-07,1,42
737,2015-01-08,1,56
738,2015-01-09,1,58
739,2015-01-10,1,67
740,2015-01-11,1,56
741,2015-01-12,1,32
742,2015-01-13,1,43
743,2015-01-14,1,38
744,2015-01-15,1,29
745,2015-01-16,1,53
746,2015-01-17,1,61
747,2015-01-18,1,66
748,2015-01-19,1,37
749,2015-01-20,1,37
750,2015-01-21,1,51
751,2015-01-22,1,31
752,2015-01-23,1,66
753,2015-01-24,1,67
754,2015-01-25,1,62
755,2015-01-26,1,41
756,2015-01-27,1,52
757,2015-01-28,1,52
758,2015-01-29,1,35
759,2015-01-30,1,51
760,2015-01-31,1,69
761,2015-02-01,1,67
762,2015-02-02,1,35
763,2015-02-03,1,45
764,2015-02-04,1,47
765,2015-02-05,1,63
766,2015-02-06,1,53
767,2015-02-07,1,60
768,2015-02-08,1,57
769,2015-02-09,1,44
770,2015-02-10,1,43
771,2015-02-11,1,59
772,2015-02-12,1,58
773,2015-02-13,1,50
774,2015-02-14,1,62
775,2015-02-15,1,60
776,2015-02-16,1,49
777,2015-02-17,1,44
778,2015-02-18,1,39
779,2015-02-19,1,41
780,2015-02-20,1,54
781,2015-02-21,1,70
782,2015-02-22,1,88
783,2015-02-23,1,42
784,2015-02-24,1,40
785,2015-02-25,1,54
786,2015-02-26,1,46
787,2015-02-27,1,61
788,2015-02-28,1,57
789,2015-03-01,1,74
790,2015-03-02,1,62
791,2015-03-03,1,53
792,2015-03-04,1,74
793,2015-03-05,1,60
794,2015-03-06,1,71
795,2015-03-07,1,77
796,2015-03-08,1,69
797,2015-03-09,1,49
798,2015-03-10,1,65
799,2015-03-11,1,62
800,2015-03-12,1,77
801,2015-03-13,1,78
802,2015-03-14,1,58
803,2015-03-15,1,59
804,2015-03-16,1,53
805,2015-03-17,1,58
806,2015-03-18,1,55
807,2015-03-19,1,54
808,2015-03-20,1,88
809,2015-03-21,1,86
810,2015-03-22,1,92
811,2015-03-23,1,53
812,2015-03-24,1,71
813,2015-03-25,1,54
814,2015-03-26,1,59
815,2015-03-27,1,76
816,2015-03-28,1,73
817,2015-03-29,1,88
818,2015-03-30,1,54
819,2015-03-31,1,63
820,2015-04-01,1,66
821,2015-04-02,1,76
822,2015-04-03,1,93
823,2015-04-04,1,95
824,2015-04-05,1,82
825,2015-04-06,1,73
826,2015-04-07,1,78
827,2015-04-08,1,70
828,2015-04-09,1,79
829,2015-04-10,1,83
830,2015-04-11,1,84
831,2015-04-12,1,86
832,2015-04-13,1,64
833,2015-04-14,1,89
834,2015-04-15,1,73
835,2015-04-16,1,72
836,2015-04-17,1,70
837,2015-04-18,1,94
838,2015-04-19,1,71
839,2015-04-20,1,58
840,2015-04-21,1,68
841,2015-04-22,1,68
842,2015-04-23,1,59
843,2015-04-24,1,67
844,2015-04-25,1,94
845,2015-04-26,1,104
846,2015-04-27,1,66
847,2015-04-28,1,68
848,2015-04-29,1,69
849,2015-04-30,1,94
850,2015-05-01,1,89
851,2015-05-02,1,106
852,2015-05-03,1,104
853,2015-05-04,1,57
854,2015-05-05,1,82
855,2015-05-06,1,78
856,2015-05-07,1,86
857,2015-05-08,1,87
858,2015-05-09,1,97
859,2015-05-10,1,106
860,2015-05-11,1,69
861,2015-05-12,1,74
862,2015-05-13,1,58
863,2015-05-14,1,77
864,2015-05-15,1,88
865,2015-05-16,1,96
866,2015-05-17,1,99
867,2015-05-18,1,60
868,2015-05-19,1,88
869,2015-05-20,1,60
870,2015-05-21,1,86
871,2015-05-22,1,88
872,2015-05-23,1,107
873,2015-05-24,1,88
874,2015-05-25,1,65
875,2015-05-26,1,80
876,2015-05-27,1,62
877,2015-05-28,1,77
878,2015-05-29,1,82
879,2015-05-30,1,92
880,2015-05-31,1,90
881,2015-06-01,1,74
882,2015-06-02,1,85
883,2015-06-03,1,82
884,2015-06-04,1,96
885,2015-06-05,1,90
886,2015-06-06,1,131
887,2015-06-07,1,114
888,2015-06-08,1,63
889,2015-06-09,1,82
890,2015-06-10,1,72
891,2015-06-11,1,85
892,2015-06-12,1,90
893,2015-06-13,1,97
894,2015-06-14,1,115
895,2015-06-15,1,62
896,2015-06-16,1,77
897,2015-06-17,1,94
898,2015-06-18,1,96
899,2015-06-19,1,95
900,2015-06-20,1,107
901,2015-06-21,1,115
902,2015-06-22,1,69
903,2015-06-23,1,84
904,2015-06-24,1,81
905,2015-06-25,1,87
906,2015-06-26,1,88
907,2015-06-27,1,94
908,2015-06-28,1,120
909,2015-06-29,1,86
910,2015-06-30,1,76
911,2015-07-01,1,84
912,2015-07-02,1,98
913,2015-07-03,1,113
914,2015-07-04,1,117
915,2015-07-05,1,112
916,2015-07-06,1,84
917,2015-07-07,1,106
918,2015-07-08,1,86
919,2015-07-09,1,105
920,2015-07-10,1,92
921,2015-07-11,1,93
922,2015-07-12,1,102
923,2015-07-13,1,89
924,2015-07-14,1,85
925,2015-07-15,1,81
926,2015-07-16,1,114
927,2015-07-17,1,102
928,2015-07-18,1,123
929,2015-07-19,1,114
930,2015-07-20,1,63
931,2015-07-21,1,96
932,2015-07-22,1,81
933,2015-07-23,1,83
934,2015-07-24,1,93
935,2015-07-25,1,114
936,2015-07-26,1,119
937,2015-07-27,1,67
938,2015-07-28,1,90
939,2015-07-29,1,80
940,2015-07-30,1,107
941,2015-07-31,1,108
942,2015-08-01,1,87
943,2015-08-02,1,76
944,2015-08-03,1,70
945,2015-08-04,1,85
946,2015-08-05,1,71
947,2015-08-06,1,86
948,2015-08-07,1,82
949,2015-08-08,1,92
950,2015-08-09,1,112
951,2015-08-10,1,67
952,2015-08-11,1,85
953,2015-08-12,1,74
954,2015-08-13,1,86
955,2015-08-14,1,78
956,2015-08-15,1,92
957,2015-08-16,1,104
958,2015-08-17,1,75
959,2015-08-18,1,74
960,2015-08-19,1,85
961,2015-08-20,1,77
962,2015-08-21,1,94
963,2015-08-22,1,100
964,2015-08-23,1,83
965,2015-08-24,1,63
966,2015-08-25,1,73
967,2015-08-26,1,80
968,2015-08-27,1,86
969,2015-08-28,1,94
970,2015-08-29,1,91
971,2015-08-30,1,105
972,2015-08-31,1,61
973,2015-09-01,1,81
974,2015-09-02,1,73
975,2015-09-03,1,72
976,2015-09-04,1,81
977,2015-09-05,1,101
978,2015-09-06,1,98
979,2015-09-07,1,61
980,2015-09-08,1,75
981,2015-09-09,1,72
982,2015-09-10,1,79
983,2015-09-11,1,81
984,2015-09-12,1,90
985,2015-09-13,1,88
986,2015-09-14,1,68
987,2015-09-15,1,73
988,2015-09-16,1,74
989,2015-09-17,1,80
990,2015-09-18,1,73
991,2015-09-19,1,96
992,2015-09-20,1,93
993,2015-09-21,1,71
994,2015-09-22,1,75
995,2015-09-23,1,73
996,2015-09-24,1,77
997,2015-09-25,1,76
998,2015-09-26,1,85
999,2015-09-27,1,96
1000,2015-09-28,1,63
1001,2015-09-29,1,72
1002,2015-09-30,1,54
1003,2015-10-01,1,80
1004,2015-10-02,1,68
1005,2015-10-03,1,72
1006,2015-10-04,1,81
1007,2015-10-05,1,53
1008,2015-10-06,1,64
1009,2015-10-07,1,60
1010,2015-10-08,1,67
1011,2015-10-09,1,72
1012,2015-10-10,1,96
1013,2015-10-11,1,90
1014,2015-10-12,1,53
1015,2015-10-13,1,78
1016,2015-10-14,1,72
1017,2015-10-15,1,72
1018,2015-10-16,1,74
1019,2015-10-17,1,85
1020,2015-10-18,1,101
1021,2015-10-19,1,49
1022,2015-10-20,1,76
1023,2015-10-21,1,67
1024,2015-10-22,1,80
1025,2015-10-23,1,94
1026,2015-10-24,1,72
1027,2015-10-25,1,93
1028,2015-10-26,1,64
1029,2015-10-27,1,66
1030,2015-10-28,1,69
1031,2015-10-29,1,80
1032,2015-10-30,1,79
1033,2015-10-31,1,100
1034,2015-11-01,1,85
1035,2015-11-02,1,60
1036,2015-11-03,1,71
1037,2015-11-04,1,83
1038,2015-11-05,1,79
1039,2015-11-06,1,88
1040,2015-11-07,1,83
1041,2015-11-08,1,106
1042,2015-11-09,1,62
1043,2015-11-10,1,60
1044,2015-11-11,1,83
1045,2015-11-12,1,63
1046,2015-11-13,1,85
1047,2015-11-14,1,86
1048,2015-11-15,1,104
1049,2015-11-16,1,62
1050,2015-11-17,1,80
1051,2015-11-18,1,80
1052,2015-11-19,1,83
1053,2015-11-20,1,101
1054,2015-11-21,1,80
1055,2015-11-22,1,99
1056,2015-11-23,1,66
1057,2015-11-24,1,69
1058,2015-11-25,1,56
1059,2015-11-26,1,64
1060,2015-11-27,1,91
1061,2015-11-28,1,104
1062,2015-11-29,1,101
1063,2015-11-30,1,46
1064,2015-12-01,1,49
1065,2015-12-02,1,59
1066,2015-12-03,1,47
1067,2015-12-04,1,70
1068,2015-12-05,1,54
1069,2015-12-06,1,59
